firm_name,date_published,register_consulted,lookup_date,udyam_verified,iec_verified,cres_verified,manufacturer_vs_merchant
Naik Oceanic Export Pvt Ltd,05/13/2020,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
Nekkanti Sea Foods Limited,04/11/2014,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Nekkanti Sea Foods Limited,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Nekkanti Sea Foods Limited,11/21/2016,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Nezami Rekha Seafoods Private Limited,08/29/2013,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Nila Sea Foods Exports,07/31/2023,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,merchant exporter
Nila Seafoods Pvt. Ltd.,06/01/2015,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Oceanic Edible International Ltd,12/19/2013,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
PADINJARETHALACKAL PLANTATIONS PRIVATE LIMITED,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
PENVER PRODUCTS LIMITED,08/30/2019,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
PENVER PRODUCTS PVT.LTD.,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
POYILAKADA FISHERIES PVT LTD,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Pasupati Aquatics Pvt. Ltd.,09/27/2023,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Patel Int'L,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,indeterminate
